gene	rank
TNFRSF6B	9.65810616912429
DDTL	8.44009228854203
PTPRCAP	8.30478698765587
FOXH1	5.49986669744335
AGAP14P	5.26346409216549
AGAP7P	4.66881349867297
CHI3L1	4.39427354226721
PKD1P2	4.09070340253356
VIL1	3.87755268802773
IGKC	3.73514431431156
PMS2P14	3.64221618032907
BGLAP	3.62124774387563
RPS26P6	3.58570941410936
CXCL10	3.57179065185355
RPS23P8	3.52762948748952
ASPRV1	3.4739237306626
LDHC	3.26263229114294
IGHG4	3.08432328378741
IGLC3	2.95899372770358
CERKL	2.88208544635351
IL6	2.85305241589691
CXCL1	2.79106902751627
SYCP3	2.76395767189809
CXCR5	2.72310200277252
PKP3	2.70021481490848
MARCO	2.67708905403675
GTF2A1L	2.67219776024391
CYP19A1	2.62928176026144
IDO1	2.62050241984892
SLC5A2	2.59665437176257
C4B	2.54402495008988
ACY3	2.51529326544642
CCL19	2.51440572085609
CYP2W1	2.49051928685249
TNFSF12-TNFSF13	2.48029602298436
RSPH14	2.4252488656868
ISG20	2.40151093030351
STON1-GTF2A1L	2.34451883858759
LRRC37A	2.33757613546252
PLD4	2.3250834610227
RIMBP3B	2.2924636043848
EVA1B	2.28457865912276
CCL13	2.28243351274325
MTND1P23	2.27471539601864
C2CD4B	2.25923627828993
CCL2	2.25861716049384
C4A	2.24506390945654
POLD1	2.23086296864052
PKMYT1	2.20342797095947
CFHR1	2.19843030748776
SLC25A41	2.19126785257432
SHH	2.18700871599391
HCST	2.15850747375713
SPIB	2.1386419198709
CES1P1	2.12728562217332
UBD	2.11717614860221
HAMP	2.10712228047426
CFAP299	2.10177599494991
KCNK17	2.09890449409688
RPL13AP12	2.08710877034219
ZNF812P	2.08169682971557
SUSD3	2.07647746664858
NUP210L	2.07225874166599
S100A1	2.0696373512215
CITED1	2.03112606667456
CLEC9A	2.01494362849332
FOXS1	2.00805090657026
NPIPA8	1.97269576527478
DERL3	1.96664507836506
IL1R2	1.96539333146591
IGLC7	1.9575743587888
ADGRG5	1.95640422940558
SCO2	1.95569228248163
HLA-DRB5	1.95093242196666
WDFY4	1.94237251195842
CLEC12A	1.93169930883229
PTTG1	1.91130319817581
EIF2AK1P1	1.88151462276537
FCGR1A	1.86012719338662
PTGDS	1.8595659556595
TREM2	1.858211078385
METRN	1.85583307639874
GRP	1.85503694704321
NUSAP1	1.85113866211684
CHMP4BP1	1.85031886360195
TMEM121	1.84406217360608
SPAG8	1.84340628655333
ARHGAP15	1.8328510794929
AQP7P4	1.82653937945835
DHRS9	1.8131659310403
TAC1	1.80969634344898
C1QA	1.79987665598123
IL32	1.79822877817416
CUZD1	1.79754206845651
SLX1B	1.79737330334977
IFITM2	1.79731498810508
CFAP74	1.79596148272906
HOXB7	1.78875557737663
LY86	1.78539782447116
KCNK7	1.78461546634596
MTLN	1.7837945156395
GPX1	1.78152644053959
SIPA1	1.78152494075156
H1-9P	1.78124272784987
SLC15A3	1.78103848456803
MLC1	1.77995661952563
CFB	1.77787711881124
TNFAIP8L2	1.77584537352429
RPL13AP26	1.77409709151004
CTRL	1.77132895054027
MAN2B1	1.75482155501817
RPL7P9	1.75426353731491
RECQL4	1.75398402885606
CCER2	1.74497975714104
ZNF593OS	1.73963596821127
C1QB	1.73766270280398
C3	1.73593513029782
PYCARD	1.72898164549105
HP	1.72746434013224
SLAMF1	1.72493689935612
C19orf38	1.72092499632937
HLA-DQB1	1.71834921984458
TYROBP	1.70628676037756
HEPN1	1.70414181748714
ARSI	1.701846956868
PLAC9	1.69727570407269
H2AC8	1.69717557563349
SLC17A9	1.69139721742772
SPOCD1	1.68068648634934
NAPSB	1.6775968175113
CD37	1.67624988674759
NNMT	1.67587453451426
LILRA5	1.66835458872504
IRF7	1.66691903318377
MT1A	1.66317801866798
NELL1	1.66144727574201
MIA	1.66079704283035
ABCB4	1.65645222077225
RCN3	1.65581536294234
NUTM2A	1.65177236501966
FAM167B	1.65099009465826
ZP3	1.64723479231867
FUOM	1.64567951664878
OLFML2B	1.64519643153276
BATF2	1.64125340448851
TRIM74	1.63919080718731
FBP1	1.62994317189008
MYO3A	1.62570749429844
CES1	1.6199214696411
LIF	1.61747578251054
SLC39A4	1.61618485061601
AIF1	1.61325486898155
LAG3	1.61156795070337
F2RL3	1.60783337370851
ARHGAP36	1.60452808895811
DIRAS3	1.60055164003362
SAP25	1.59934631960651
FGF17	1.59172459501079
PGAM2	1.5904581727847
CDC42EP5	1.58996100080787
GPR84	1.58669146440181
EFCC1	1.58401792884215
AREG	1.58195629639079
FCF1P2	1.58191509708258
TMEM158	1.58069382449768
PTGFRN	1.57905696612794
BOLA2B	1.57882492514117
ESPN	1.57512573261553
CRABP1	1.56371970402239
TMEM191B	1.55922962097149
IL1RN	1.55193908333285
TNNT2	1.55055735676373
SNORC	1.55010943204422
CMTM7	1.54921737921103
MICALL2	1.54898323009641
MPI	1.5471724745569
TMEM262	1.54661891238556
SMIM17	1.54618953182281
TFPI2	1.54528718878504
TIMP1	1.54324488055873
CST3	1.54307117828866
CDH12P2	1.54220681771826
COL20A1	1.53973851351194
HMGB3P22	1.53806914273443
LRRIQ3	1.53438979892698
EIF3FP3	1.53243672963452
HPGDS	1.53021453737431
MLPH	1.52498380359944
EMILIN3	1.52269755915021
NME3	1.52067332758233
DBP	1.52028621276225
ISG15	1.51850239509166
LENG9	1.51845647192084
MOCOS	1.51362549909504
LYZ	1.51308214121701
NFIL3	1.51255774909209
CCDC85B	1.50914101811235
FCGR1BP	1.50309129425038
TCF15	1.50224633261407
S100A14	1.49842663917425
COX4I2	1.49495806092963
LST1	1.49310443730019
BATF3	1.49214107606316
TNXA	1.49189286653239
PLEKHB1	1.49179074838877
EGR2	1.49166648674184
STAC2	1.49065001030973
SPMIP6	1.49049882382394
FLT3LG	1.48502941740119
KIF25	1.48170670552484
EGR3	1.47932333869694
MISFA	1.47843525754791
CCDC88B	1.47780435033444
RELB	1.47499567261948
AOAH	1.47123963355667
RNASE2	1.47059793590539
FOSL1	1.46960978498023
FAM83A	1.46871466690795
FOXD4	1.46585110872259
ECRG4	1.46575028670773
CENPBD2P	1.46303589252688
IL34	1.4629352253965
SART1	1.46249663626646
OSCAR	1.46116815318526
TAF5LP1	1.45931789853599
RPS10-NUDT3	1.45568928107409
CTF1	1.45565841385046
TMEM54	1.45540367785207
POLD4	1.4552964464339
CCDC192	1.45417212347508
FCER1G	1.45404743465687
EGFL8	1.450331716611
FABP5	1.44709897667194
HSPB1	1.44628614902021
PLEKHG4B	1.43833057460988
IFITM3	1.43632886271271
EIF4EBP3	1.43401182967507
POLRMT	1.43389213413822
CSTA	1.43181230605179
UBALD2	1.43139582644221
ZNF524	1.43031122453395
RARRES2	1.43010549967954
SFTPB	1.42723318003525
PMFBP1	1.42565300842857
TMEM256	1.42504018580408
CDRT15P3	1.42347496699511
CD74	1.4199699227324
CHADL	1.41962469312216
RPL3P4	1.41856994305317
DPP7	1.41758746234862
PSMB10	1.41660112612341
CRIP3	1.41581624713871
CDKN3	1.41561854793461
KRT14	1.41421986503125
CIMAP1B	1.41292132694636
LY6K	1.41286386074752
TBC1D3K	1.41248025264308
ITGB4	1.41201689520848
GDF15	1.41192278266634
FAM20A	1.41154969473456
CALHM6	1.40850977076132
PRIMPOL	1.40771229834091
BLNK	1.40731885952176
ESPNL	1.40716582208055
SMC3P1	1.40715840817934
TMEM132A	1.40487266290532
TMSB4XP4	1.39891480198581
SKAP1	1.39789851463988
VAMP5	1.39444946653544
WFDC2	1.39409984149145
BHLHE22	1.39018390070567
COMTD1	1.38939086978739
COL7A1	1.38928736451264
KLK4	1.38616601366807
HMGA1	1.38457634434474
FAM156A	1.38295839868065
POMGNT1	1.381967191639
TACSTD2	1.38180218941588
STAP2	1.38114783680541
ANO9	1.38029672238461
HLA-DRB1	1.37972233517217
IER3	1.37521315173654
FAM174C	1.37474516756858
TAPBPL	1.37104857133946
ZNHIT2	1.36796002962561
CXCL9	1.36775642692567
IGFBP6	1.36753768958081
TNNC1	1.36517034492075
CTNNAL1	1.36239034125883
HLA-DPB1	1.35420564761103
FXYD3	1.35312579229651
SAA1	1.35252657680351
CYB5R2	1.35130436063954
EIF4EBP1	1.35019083285961
METTL26	1.34880643067063
F8A2	1.34638069965466
F8A3	1.34638069965466
PCED1A	1.34616402494062
ORAI1	1.34580397674721
CARD16	1.34548150514552
ASB2	1.34307361754817
MRPL54	1.34265461745671
PDCL3P4	1.34228121269372
PAOX	1.3385454584651
STRA6	1.33848290613224
LILRB4	1.33764102410448
C1QC	1.3367730977539
SERTAD1	1.33623730990655
TMIGD3	1.33326154013706
MROH6	1.33245899411732
ARMCX7P	1.3322537455608
RPL36	1.33224425963646
SNAI3	1.33167898734508
TSPAN32	1.33135755448575
LAGE3	1.32907544919255
MIA-RAB4B	1.32781677984801
ALKBH7	1.32773820438087
HLA-DMA	1.32752280737444
CCDC61	1.32694975406943
ISYNA1	1.32560345478816
MTFP1	1.32517859576404
TGFBI	1.32483618639375
TJP3	1.32457974383469
RCAN1	1.32457551278288
SLC7A9	1.32429622591401
GBP2	1.32367197245473
TRPT1	1.32245884375283
EGR1	1.32188551526111
CDK3	1.32174956302421
ATP5F1D	1.32075439928992
NKX6-2	1.32072433723103
BOLA2	1.3206794545318
USE1	1.32000915274378
SOX17	1.31994563011881
LY96	1.31963543857635
RPL28	1.31928133420638
ALLC	1.3191075114408
CISH	1.31756033525597
RNASET2	1.31755182782144
RNASE6	1.31460538835655
HLA-DMB	1.3102364301539
STEAP1	1.31023059242809
IFI27L2	1.31008910508091
ARPC1B	1.3087866937271
CFD	1.30765040433614
RPLP2	1.30656805250374
ANTKMT	1.30572905206016
DPM3	1.3028478658956
TBC1D3D	1.30117379135729
CAVIN3	1.30053364348745
PAXX	1.29949242464642
CAPG	1.29925198267809
TNXB	1.29872397819682
PLEKHA4	1.29859414816104
NDUFA3	1.29757027709956
CEMP1	1.2970153722141
EEF1D	1.29625243225252
SLC16A11	1.29552182060214
C1QTNF5	1.29526835504065
S100A8	1.29396335401028
EBI3	1.29294613213289
TRAPPC5	1.29285206295247
CCDC102A	1.29246184139584
CCN3	1.28848579980149
INMT	1.28732410204177
MUSTN1	1.28689318518586
NAPRT	1.28660972775537
PLA2G2A	1.28492377880697
HLA-DOA	1.28220417296186
GFAP	1.28168009542112
EEF1AKMT4	1.28077828915547
S100A2	1.27680567368416
GADD45GIP1	1.27564995689181
TTYH1	1.27314767467554
ETV7	1.27246618023511
C11orf98	1.27219458854329
KCNMB3	1.27061444184701
DALRD3	1.27024000143888
VMP1	1.27009560285396
ITGB2	1.2691637717244
SAC3D1	1.26886972794513
BST2	1.26709495865442
TNFRSF12A	1.2665055621666
FHIP1A	1.26599243519145
CLDN5	1.26477360445358
OR7E47P	1.26444899378899
PLOD1	1.26339162361141
MACROD1	1.25976771835171
BRICD5	1.25694086584555
TEX29	1.25601900457697
WDR13	1.25573561721317
NFATC4	1.2545492027269
OCM	1.25446898357848
NPFF	1.25427953743903
SCRIB	1.2540122856268
PIK3R6	1.25288528601293
HSPA7	1.25255101723697
DDX56	1.25167139548757
EMILIN1	1.25108379497191
SCIN	1.25091716035417
GPT	1.25032164990626
CEBPD	1.25004216024783
CTNNBL1	1.24668428073221
CTSC	1.24528534987479
RPL41P2	1.2430255159927
PLA2G4C	1.240825626557
BCL2L12	1.24007854934121
TMEM249	1.23973276579995
NME4	1.23943954537672
RPP21	1.23895641136345
C1orf87	1.23827899138398
NBAS	1.23735591422814
S100A16	1.23642377037464
CASP1	1.23497135744
PLPP2	1.23379325909651
RPL22L1	1.23347480446289
RRAS	1.23237782888343
GGCT	1.23182463996444
SIGLEC7	1.22992750749863
FANCA	1.22917731623648
RFXANK	1.22801334110582
PPP1R14B	1.22714093843343
POLR2J	1.22654413632798
S100A11	1.22635765154064
JCHAIN	1.22582734513697
SAXO2	1.22567377026921
NDUFS8	1.22539142719554
PINLYP	1.22514679906452
SULT2B1	1.22510071060251
GJC2	1.22476023621602
FAM110A	1.22317135063403
RPL36AP37	1.2229415838741
GALK1	1.22261013632006
ZNG1DP	1.22222040889409
GSDMD	1.22212564361925
C2	1.22183759601162
NDUFS6	1.22164624990823
FRG1GP	1.22034432683384
LAMTOR4	1.22004186921971
PTOV1	1.21973993559035
ADH1C	1.21930348670804
RPL13	1.21820900169484
CD33	1.21809836685072
TALDO1	1.21696435901291
ELOB	1.2161983827479
GZMB	1.2151848164517
FAAP20	1.21516083236199
SERTAD3	1.21480031858432
A1BG	1.21235171096881
NCLN	1.21081938904987
IFITM1	1.21080927435002
MPST	1.20796132631961
RPP25L	1.20794825548503
FAAH2	1.20728035677142
DIO3	1.20715712922973
RSPH9	1.20696755343792
C6orf163	1.20431202799434
IER5L	1.20423247412279
FCGR1CP	1.20331033993016
C6orf52	1.20244590888658
NDUFB7	1.20058791612607
RPL32P29	1.20013505692497
PDCD2L	1.19979321174683
KCNJ15	1.19923320699926
INAFM1	1.1990146271192
IGHG2	1.19841075229261
CYP17A1	1.19840674527521
PATE4	1.19823034346091
TSC22D4	1.19722750518394
EMP3	1.1968164936689
KRTCAP2	1.19679242217223
RHPN1	1.19642921568025
DHRS3	1.19573307729708
PLAU	1.19563967844112
DHRS4L2	1.19403654316351
MYL9	1.19348816285502
BCL7C	1.19253133004979
CISD3	1.19241489861991
MRPL53	1.1909613818027
PDLIM4	1.19055735387855
SLC4A2	1.19015749682047
TWIST1	1.1875482501775
RPLP0P9	1.1874328915138
NDUFAF8	1.18718252741288
MAFIP	1.18709068363197
GADD45G	1.18694757862003
VEGFB	1.18403530905845
CSRP2	1.18310889990958
PPP1R14BP3	1.18211653696166
UBQLNL	1.18158437612991
MT3	1.18060052628505
FGFBP2	1.17781318076072
DCXR	1.17673649599858
SGF29	1.17552162911215
PLEKHG3	1.17434309193138
THBS3	1.17315361359979
HEXB	1.17250279135879
CYP4Z1	1.17232310109504
TMEM86B	1.17225968501658
TNK1	1.17139055124081
NPIPA5	1.16977792983375
C19orf33	1.16960858918369
SLC2A3	1.16880290596936
DOHH	1.16875631713784
C1R	1.16869002397019
CDC20	1.16794012534296
ANXA11	1.16672836172675
MILR1	1.16661458157069
MOV10	1.16577467426274
CHTF18	1.16370975817888
TSLP	1.16350875954008
RAB13	1.16225513685607
RPS15	1.16205867743137
SLC16A3	1.161929656502
SPACDR	1.16142070969446
TRAC	1.16058705539494
DYNLRB2	1.16002061098101
GP1BB	1.16000279276045
RPS21	1.15987011653692
DUSP5	1.15957875427572
EFEMP2	1.15835661524928
PTP4A3	1.15784658178962
RPL8	1.15768144473106
EXOSC4	1.1572084287699
PACSIN3	1.15662322514862
INTS1	1.15503075146154
CCZ1	1.15470097118141
TEAD4	1.15417790455994
NPM3	1.15407487717223
C12orf57	1.15400373792247
TSPO	1.15387695292942
CYBA	1.15347125826745
RYR1	1.15334493103026
ATE1OSP	1.15329912260808
RPS19	1.15327988955632
PUM3	1.15314141596094
LSM7	1.15276065246402
ZNF511	1.15272319832007
DNAH7	1.15260551488606
RBM6	1.15251289154818
FXYD1	1.15178586191786
ZNF692	1.15163474020561
FABP5P7	1.15143325845518
ADAMTSL4	1.15113765510081
SIGIRR	1.14998958243403
SERF2	1.1493657029575
DDAH2	1.1493094562308
APRT	1.14905847580464
ABI3	1.14823869089413
RPS28	1.14821457326353
PUSL1	1.14820630800321
ZNF709	1.1478401541004
SRGN	1.14672002984398
NUBP1	1.1464397110396
DDX11L2	1.14634474075129
UQCC2	1.14418922994071
AKR1A1	1.14355530461524
SMPD2	1.14167371379864
PHPT1	1.14130991284117
RPL10P16	1.13992085982275
CD14	1.13975224076837
FKBP2	1.13931046741992
GPATCH3	1.13930120971235
CHST6	1.13887781492794
LEAP2	1.13691342283483
A2M	1.1363415789236
TYMP	1.13608031097876
SELENOM	1.13603632527121
RGS14	1.13487340473322
BAX	1.13483646415208
MDK	1.13407066940259
MUS81	1.13329788382885
ACD	1.13302970451092
DDIT4	1.13283078746625
TMEM219	1.13209480691876
NMB	1.13173214247702
GTF2H5	1.131473523965
IL7R	1.13138718256667
DNAJC1	1.13019247719639
RPL27A	1.13016711138372
SLIT2	1.12927004181463
CA10	1.1292406540558
HLA-C	1.12874645265873
TAF10	1.12842470413329
INKA1	1.12827534312807
C16orf89	1.12733984468782
MRPL11	1.1271079289646
GSN	1.1263523535623
POLR2I	1.12635033922051
H2AC18	1.12614628848428
RPLP1	1.12597173547365
HLA-DRA	1.12595028207449
AEBP1	1.12583734439417
NAT14	1.12544548416733
SMIM29	1.12538367751858
SDF2L1	1.12489581635014
DRAP1	1.12466330159381
ATP5ME	1.12425569039414
RPL37A	1.12378417014572
TIMM13	1.12318791505864
SLC22A1	1.1213634724314
BUD13	1.12114098930944
CDK2AP2	1.12109452099245
GOLGA8VP	1.1209567638515
NUDT14	1.11932426487372
PHF14	1.11927548820217
NOC4L	1.11926901880261
DHRS4	1.11916304034385
NPIPB6	1.11900133255872
CCDC107	1.11841390774247
SCUBE2	1.11623205340524
TICAM2	1.11504632299776
FBXW4P1	1.11469657301177
NAXE	1.11462794877885
SELENOH	1.11433713095229
TMEM187	1.11414718632268
PTPN6	1.11359942118367
RAG1	1.11322539751224
WRAP53	1.11208934361856
ZNF653	1.11110537465602
S100B	1.11048782932296
KCNN4	1.10971861317411
NECTIN2	1.10953513160781
CCNI2	1.10937999045069
ERCC1	1.10843465660396
LRMDA	1.10823671443852
HES6	1.10784370448713
LILRB2	1.10768397369883
VMO1	1.10761967389803
EPS8L2	1.10760345163376
TFEB	1.10724074938075
ZFP36	1.10698707182318
RPS19BP1	1.1067673592335
B4GALNT4	1.10608225532775
EMID1	1.10600042450836
FGGY	1.10549812135875
RPS10	1.10497294991326
OR2I1P	1.10363859202905
GYPC	1.10344007945832
GSTP1	1.10298964941091
EHBP1L1	1.10255938620618
TNFAIP6	1.10240265538365
ATP8B4	1.10141323658141
AURKAIP1	1.10139923482855
PLAUR	1.10064051225594
DBI	1.10009807674294
IRF3	1.09997776783743
RNF122	1.09901242588267
TMEM92	1.0976783255361
GAL	1.09698296101788
PDIA2	1.09694267073439
FAM181B	1.09625720632576
C9orf50	1.09580068236322
AIP	1.09537629607322
ISOC2	1.09307885840751
PKN1	1.09271040135144
RCN1	1.0918822091033
NTHL1	1.09186529826668
NEK3	1.0917576011263
ZBTB17	1.09161122266328
TMEM109	1.09136034950152
PLAAT4	1.09102120606086
JOSD2	1.0907486175617
NRGN	1.09006487442168
CD63	1.08858223072189
APOD	1.08758403423761
EDF1	1.08736949076188
RENBP	1.08712596265374
CCK	1.08561827646528
CRYBA2	1.08546471821715
TMEM176A	1.08396379640532
CUL9	1.083389574884
NHERF2	1.08274128023341
HMX1	1.08253264579302
RPS27AP16	1.08239743095967
ARMH1	1.08195091360742
ENHO	1.08160842069193
ROMO1	1.08123447705444
CCR1	1.08100873760522
CD79B	1.08090714074334
BANF1	1.08077635141627
DYNC2I2	1.08052143533212
RPS11	1.08000795875274
TOX2	1.07999844051861
TLE2	1.07933325752942
MEOX1	1.07902062208702
DGCR6L	1.07832703647772
NUDT1	1.07803042410484
CHCHD10	1.07754634286957
GRB14	1.0772934372295
RBM42	1.07693435773631
CNPY3	1.07628053775281
INSC	1.07548689638557
HYI	1.07539005785118
SGSM3	1.07368680466772
